id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
11168548,"El Mononoambiente, con vista al lago",entire_home,"4,84 (49)",San Carlos de Bariloche,-41.13325,-71.36591,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-08-28,2023-09-02,,$50 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
17846750,Cabaña en Bariloche a minutos del Centro,entire_home,"4,89 (108)",San Carlos de Bariloche,-41.12764,-71.35801,"['4 camas', '2 dormitorios', '1 baño', '1 cama king', '2 camas de una plaza', 'más', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-08-09,2023-08-14,$75 USD,$85 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
54343283,Tiny house en la Patagonia I - Con costa de río,entire_home,"4,88 (24)",San Martín de los Andes,-40.06995,-71.3145,"['1 cama', '1 dormitorio', '1 baño', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-07-01,2023-07-06,,$68 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
739202758299900223,"Patagonia Mágica, Cabaña de troncos. Hab. 5",private_room,"5,0 (11)",Lácar Department,-40.12565,-71.32154,"['2 camas', 'Monoambiente', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-08-01,2023-08-06,,$50 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
797077259992479162,Vista al Lago en el Bosque - Hab Compartida,shared_room,"5,0 (8)",San Carlos de Bariloche,-41.13455,-71.36807,"['1 cama', '1 dormitorio', '1 baño compartido', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-11,2023-07-18,,$21 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
52993593,Habitación privada en San Martín de Los Andes dob.,private_room,"4,96 (27)",San Martin de los Andes,-40.13356,-71.29748,"['1 cama', '1 dormitorio', '2 baños compartidos', '1 cama doble', 'Estacionamiento gratis', 'Wifi']",2023-07-01,2023-07-06,,$30 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
22994028,Mari Village.,entire_home,"4,9 (134)",San Carlos de Bariloche,-41.10241,-71.44685,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-09-01,2023-09-06,,$35 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
34420689,Victorias Tempo. Depto nuevo con jardín y cochera.,entire_home,"4,92 (96)",San Carlos de Bariloche,-41.14011,-71.25835,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 sofá cama', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-08-28,2023-09-02,$53 USD,$63 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
782060930905714812,Cabaña en la montaña: La Cascada,entire_home,,San Martin de los Andes,-40.14405,-71.27512,"['1 cama', '1 dormitorio', '1 baño', 'Estacionamiento gratis', 'Wifi']",2023-07-01,2023-07-06,$45 USD,$75 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
49546396,Departamento para 2. Excelente ubicación.,entire_home,"4,89 (53)",San Carlos de Bariloche,-41.13455,-71.2992,"['1 cama', 'Monoambiente', '1 baño', '1 cama queen', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-07-07,2023-07-13,,$70 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
